"No.","Time","Source","Destination","Protocol","Length","Info"
"69","28.584108","192.168.33.251","192.168.33.100","DNS","195","Standard query response 0x1d44 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME prod.detectportal.prod.cloudops.mozgcp.net A 34.107.221.82"
"70","28.584492","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:38d7::","TCP","94","47352  >  80 [SYN] Seq=0 Win=64900 Len=0 MSS=1298 SACK_PERM TSval=3797119545 TSecr=0 WS=128"
"71","28.589457","34.117.237.239","192.168.33.100","TCP","66","443  >  37488 [ACK] Seq=5133 Ack=933 Win=68864 Len=0 TSval=595580984 TSecr=1366051109"
"72","28.612986","34.107.221.82","192.168.33.100","TCP","74","80  >  45934 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1318 SACK_PERM TSval=2142049124 TSecr=3691346693 WS=256"
"73","28.613016","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","94","443  >  46206 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1298 SACK_PERM TSval=2876742591 TSecr=673085896 WS=256"
"74","28.613123","192.168.33.100","34.107.221.82","TCP","66","45934  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3691346749 TSecr=2142049124"
"75","28.613343","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=1 Ack=1 Win=65024 Len=0 TSval=673085960 TSecr=2876742591"
"76","28.614492","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TLSv1.2","302","Client Hello (SNI=content-signature-2.cdn.mozilla.net)"
"77","28.615238","192.168.33.100","34.107.221.82","HTTP","361","GET /success.txt?ipv4 HTTP/1.1 "
"78","28.623842","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=964 Ack=5133 Win=64128 Len=0 TSval=1366051206 TSecr=595580978"
"79","28.650137","2600:1901:0:38d7::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","94","80  >  47352 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1298 SACK_PERM TSval=1928165145 TSecr=3797119545 WS=256"
"80","28.650138","34.117.237.239","192.168.33.100","TCP","66","443  >  37488 [ACK] Seq=5133 Ack=964 Win=68864 Len=0 TSval=595581041 TSecr=1366051160"
"81","28.650189","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:38d7::","TCP","86","47352  >  80 [ACK] Seq=1 Ack=1 Win=65024 Len=0 TSval=3797119611 TSecr=1928165145"
"82","28.650435","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:38d7::","HTTP","381","GET /success.txt?ipv6 HTTP/1.1 "
"83","28.691388","34.107.221.82","192.168.33.100","TCP","66","80  >  45934 [ACK] Seq=1 Ack=296 Win=66816 Len=0 TSval=2142049198 TSecr=3691346751"
"84","28.691639","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","86","443  >  46206 [ACK] Seq=1 Ack=217 Win=66816 Len=0 TSval=2876742672 TSecr=673085961"
"85","28.691863","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","1294","Server Hello"
"86","28.691898","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=217 Ack=1209 Win=64256 Len=0 TSval=673086039 TSecr=2876742674"
"87","28.698419","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","1294","443  >  46206 [PSH, ACK] Seq=1209 Ack=217 Win=66816 Len=1208 TSval=2876742674 TSecr=673085961 [TCP segment of a reassembled PDU]"
"88","28.698420","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","1294","443  >  46206 [ACK] Seq=2417 Ack=217 Win=66816 Len=1208 TSval=2876742674 TSecr=673085961 [TCP segment of a reassembled PDU]"
"89","28.698534","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=217 Ack=2417 Win=64256 Len=0 TSval=673086045 TSecr=2876742674"
"90","28.698670","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=217 Ack=3625 Win=63360 Len=0 TSval=673086045 TSecr=2876742674"
"91","28.698732","34.107.221.82","192.168.33.100","HTTP","282","HTTP/1.1 200 OK  (text/plain)"
"92","28.698779","192.168.33.100","34.107.221.82","TCP","66","45934  >  80 [ACK] Seq=296 Ack=217 Win=64128 Len=0 TSval=3691346834 TSecr=2142049201"
"93","28.698860","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","864","Certificate, Server Key Exchange, Server Hello Done"
"94","28.698870","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TCP","86","46206  >  443 [ACK] Seq=217 Ack=4403 Win=64256 Len=0 TSval=673086046 TSecr=2876742674"
"95","28.702564","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:92a9::","TLSv1.2","179","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"96","28.706860","2600:1901:0:38d7::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","86","80  >  47352 [ACK] Seq=1 Ack=296 Win=66816 Len=0 TSval=1928165210 TSecr=3797119611"
"97","28.712758","2600:1901:0:38d7::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","HTTP","302","HTTP/1.1 200 OK  (text/plain)"
"98","28.712812","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:1901:0:38d7::","TCP","86","47352  >  80 [ACK] Seq=296 Ack=217 Win=64896 Len=0 TSval=3797119673 TSecr=1928165211"
"99","28.714891","2401:4900:4ffc:acba:323:b89d:2394:b9f7","2600:140f:3c00::b81c:ad10","OCSP","501","Request"
"100","28.796997","2600:140f:3c00::b81c:ad10","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TCP","86","80  >  38748 [ACK] Seq=889 Ack=831 Win=64128 Len=0 TSval=850680729 TSecr=132883915"
"101","28.796998","34.117.237.239","192.168.33.100","TLSv1.3","353","Application Data"
"102","28.796998","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","381","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"103","28.797057","192.168.33.100","34.117.237.239","TCP","66","37488  >  443 [ACK] Seq=964 Ack=5420 Win=64128 Len=0 TSval=1366051379 TSecr=595581168"
"104","28.796998","2600:1901:0:92a9::","2401:4900:4ffc:acba:323:b89d:2394:b9f7","TLSv1.2","155","Application Data"
